zip_code,white_percentage,median_income
54874,0.9476923076923076,32572
54902,0.9389248271246932,29245
53529,0.955029013539652,41504
53549,0.9289453276463746,31313
53550,0.9942622950819672,31977
53108,0.9280070237050044,31945
53110,0.904548191122544,31167
53114,0.9482936918304034,33030
53016,0.8329113924050633,30714
53019,0.9550622631293991,35872
53045,0.8462362586174772,44564
53063,0.9725700655933214,35402
53088,0.9482758620689656,38036
53098,0.9316217372700044,30237
53103,0.9724214009928296,40524
53115,0.9306163270408802,30385
53119,0.957760814249364,38050
53151,0.9188323020783754,42783
53167,1.0,28750
53185,0.960602731125412,43191
53219,0.7993577613395263,34296
53222,0.6118253877953502,36197
53510,0.96693657219973,37431
53526,0.9935483870967742,31765
53536,0.980488924595432,39971
53541,0.970998925886144,32054
53006,0.9859154929577464,37310
53007,0.8951125755079626,27199
53024,0.9437753329473074,42761
53036,0.9645958583834336,36212
53057,0.9973597359735974,35741
53058,0.9643827346815576,46991
53118,0.9631608548931384,39020
53140,0.7968049610731017,23875
53144,0.7983294909104652,30762
53146,0.9571888146498392,39390
53150,0.9646840148698884,42792
53189,0.9170839249682384,41795
53190,0.8903383400031183,13597
53203,0.8348783314020858,55230
53207,0.8486269619669821,36829
53220,0.8246965098634295,32669
53502,0.9467196819085488,31673
53504,0.9852869053457576,30728
53507,0.9576547231270358,45960
53511,0.7322965730063342,25949
53517,0.9646753246753248,40132
53522,0.9779116465863452,31813
53525,0.8960813492063492,32078
53559,0.9397016820057124,35642
53561,0.9888324873096448,35959
53569,0.9921073401736386,27950
53826,0.934250764525994,29539
53911,0.9644300727566694,44597
53934,0.9384825700615176,22010
53951,0.9516345723242275,29877
53953,0.9919678714859438,18315
53956,0.9575588599752168,30277
53959,0.94835345381813,30680
53963,0.9266940303881328,34114
53001,0.9814027630180658,41480
53005,0.8516199562711191,47085
53012,0.9541859830924462,43133
53014,0.9816655907036798,32199
53711,0.8061403859214574,42222
53545,0.9326525336091004,31164
53020,0.9986866298923036,38319
53027,0.9439838481034408,35348
53032,0.954122752634842,30304
53044,0.9755784061696658,43462
53047,1.0,47563
53065,0.957427536231884,37458
53069,0.9094890510948904,55977
53072,0.9333051108374384,46089
53078,0.9865889212827988,38438
53092,0.93699661630844,47334
53129,0.8530534351145038,40383
53149,0.9521528737902428,44275
53010,0.9660772757039948,35890
53017,0.9948140200286124,51982
53040,0.9710251688152242,40628
53051,0.8794164270936887,40994
53080,0.9405386498775796,30519
53104,0.9736987309177856,39000
53120,0.9711122825513968,35977
53156,0.9710729902455432,30163
53178,0.9724137931034482,31987
53184,0.904830224772836,26664
53221,0.7637687302101772,30979
53227,0.8287093904866788,32639
53585,0.8900841908325537,27230
53594,0.911533934876422,38306
53804,0.967016491754123,26118
53807,0.9871971636793382,32409
53821,0.9426656738644824,29053
53910,0.9270553064275038,23416
53916,0.9318463994324228,32303
53928,1.0,28750
53937,0.9854077253218884,30625
53946,0.9656778622211326,31009
53949,0.9581830108232208,26947
53955,0.9732205778717408,41419
53181,0.9851206434316354,32405
53816,0.976218787158145,27596
53817,1.0,30104
53913,0.9180249050435118,29067
53920,0.9821882951653944,30865
53924,0.9485038274182324,27292
53004,0.9319136172765446,39611
53579,0.9444759206798868,34295
53580,0.9949664429530202,30357
53018,0.9523809523809524,45633
53021,0.9423910799091472,39443
53022,0.8927153683559313,41702
53033,0.9427844882390336,46419
53039,0.9627775359164128,29008
53050,0.9691577698695136,30475
53075,0.9680098431251922,36452
53079,0.9741379310344828,35543
53090,0.9424540047032784,36319
53094,0.9617118284026734,30702
53128,0.919244365885992,30331
53139,0.9530981067125646,39696
53143,0.764222366428726,25715
53154,0.8372428325847058,42058
53191,0.9673684210526317,31229
53213,0.8686521849134348,44622
53226,0.8470432946145723,41980
53235,0.8757222397310642,30672
53515,0.9750109601052172,41346
53530,0.9791339466008526,31333
53532,0.9357798165137616,43438
53538,0.9268134715025906,31225
53540,0.6798029556650246,27083
54015,0.9769460265798752,41994
54016,0.9535218316026524,45930
54023,0.9477451682176092,40882
54024,0.9795703454085932,31336
54612,0.7826945871197155,34291
54621,0.9924965893587996,35000
54637,0.9128205128205128,24773
54651,0.8960770818995183,26845
54967,0.7988668555240793,28958
54844,0.9699248120300752,25341
54875,0.958490566037736,30446
54911,0.8724381357218765,27529
54923,0.9511596788581624,30254
54929,0.949844344517468,27785
54934,0.8872340425531915,30401
54943,0.9593373493975904,26212
54964,0.9928057553956836,36800
54966,0.9287518948964124,27528
54001,0.9601412714429868,30765
54007,0.9696078431372548,33269
54020,0.9752927734932876,35141
54028,0.9628267973856208,35657
54104,0.9499575911789652,21885
54106,0.9699923547400612,31722
54111,0.9852366478506296,30632
54114,0.9868945868945868,25397
54115,0.9093019690299406,38420
54129,0.9635707253035772,37050
54138,0.988826815642458,27621
54154,0.9628712871287128,30258
54157,0.94506246791032,30534
